                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.562,                 3.8889,                 1.2807,                0.02421,                0.48484,                0.06594,                 0.0372,                 1.4164,                 3.8182,                 1.1224,             0.00029827,             0.00029827,             0.00029827
                      2,                  1.636,                 3.1953,                 1.2751,                0.48511,                0.10859,                0.18272,                0.09312,                 1.5501,                 3.1151,                 1.2396,             0.00058142,             0.00058142,             0.00058142
                      3,                 1.6349,                 2.7308,                 1.2559,                0.29034,                0.27917,                0.21295,                0.09807,                 1.6486,                 2.3357,                 1.2867,             0.00084458,             0.00084458,             0.00084458
                      4,                 1.6375,                 2.4319,                 1.2856,                0.29752,                0.36235,                0.27626,                0.13328,                 1.7018,                 2.6081,                  1.344,             0.00081901,             0.00081901,             0.00081901
                      5,                 1.6185,                 2.2348,                 1.2569,                0.53645,                 0.3543,                0.37614,                0.20057,                 1.6582,                 1.9797,                 1.2958,             0.00078901,             0.00078901,             0.00078901
                      6,                 1.5554,                 2.0883,                 1.2424,                0.50081,                0.44926,                0.43962,                0.23909,                  1.593,                 1.8653,                 1.2759,             0.00075902,             0.00075902,             0.00075902
                      7,                 1.5352,                  2.059,                 1.2581,                0.52851,                0.47339,                0.49374,                0.27635,                 1.5105,                 1.7539,                 1.2483,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.5097,                 1.9638,                 1.2233,                 0.4813,                0.50997,                0.46578,                0.24607,                 1.5863,                  1.834,                 1.2758,             0.00069902,             0.00069902,             0.00069902
                      9,                 1.5226,                 1.8437,                 1.2265,                0.55373,                0.52924,                0.53221,                0.26212,                 1.5892,                 1.8033,                 1.2722,             0.00066902,             0.00066902,             0.00066902
                     10,                 1.4526,                 1.7667,                 1.1928,                0.56845,                0.55553,                0.57851,                0.32632,                  1.548,                 1.5922,                 1.2349,             0.00063903,             0.00063903,             0.00063903
                     11,                 1.4299,                 1.7389,                  1.189,                0.63695,                0.58821,                0.60785,                0.33802,                 1.5266,                 1.5109,                 1.2451,             0.00060903,             0.00060903,             0.00060903
                     12,                 1.4207,                 1.6348,                 1.1791,                  0.632,                0.57129,                0.59954,                0.33493,                 1.5059,                 1.5108,                 1.2389,             0.00057903,             0.00057903,             0.00057903
                     13,                 1.4239,                 1.6063,                 1.1764,                0.69424,                0.58424,                 0.6392,                0.35818,                 1.5327,                 1.4108,                 1.2334,             0.00054904,             0.00054904,             0.00054904
                     14,                 1.3888,                 1.6034,                 1.1756,                0.64624,                0.60914,                0.62882,                0.34787,                 1.4741,                 1.4901,                  1.233,             0.00051904,             0.00051904,             0.00051904
                     15,                 1.4005,                 1.5011,                 1.1537,                0.66622,                0.64336,                0.65419,                0.37875,                 1.4873,                 1.3958,                 1.2055,             0.00048904,             0.00048904,             0.00048904
                     16,                 1.3725,                 1.5325,                 1.1568,                 0.6649,                0.61928,                0.65863,                0.38875,                 1.4617,                 1.3137,                 1.2016,             0.00045904,             0.00045904,             0.00045904
                     17,                 1.3525,                 1.4721,                 1.1523,                0.65238,                0.62066,                0.65032,                0.37984,                 1.4803,                 1.3372,                 1.2134,             0.00042905,             0.00042905,             0.00042905
                     18,                 1.3375,                 1.4522,                 1.1494,                0.70362,                0.58986,                0.66245,                0.38496,                 1.4797,                 1.3326,                 1.2128,             0.00039905,             0.00039905,             0.00039905
                     19,                  1.336,                 1.4131,                 1.1345,                0.67195,                0.62403,                0.64594,                  0.376,                 1.5176,                 1.4025,                 1.2196,             0.00036905,             0.00036905,             0.00036905
                     20,                 1.3385,                 1.3741,                 1.1265,                0.63679,                0.65473,                0.67037,                0.39691,                 1.4505,                 1.3123,                 1.1871,             0.00033906,             0.00033906,             0.00033906
                     21,                  1.293,                  1.568,                 1.1173,                0.63281,                0.62522,                0.65526,                0.38456,                 1.4769,                 1.4125,                 1.2079,             0.00030906,             0.00030906,             0.00030906
                     22,                 1.2362,                 1.4469,                 1.0974,                0.73369,                 0.5741,                0.65575,                0.38734,                 1.4545,                 1.3835,                 1.1913,             0.00027906,             0.00027906,             0.00027906
                     23,                 1.2698,                 1.3938,                 1.1009,                0.66068,                0.62858,                0.65944,                0.37073,                 1.4789,                 1.4002,                  1.202,             0.00024907,             0.00024907,             0.00024907
                     24,                 1.2281,                  1.358,                 1.0826,                0.68246,                0.64339,                 0.6747,                0.39787,                 1.4663,                 1.3367,                 1.2027,             0.00021907,             0.00021907,             0.00021907
                     25,                 1.2391,                 1.3116,                 1.0859,                0.71828,                0.61988,                0.67901,                0.39863,                 1.4862,                 1.3184,                 1.2038,             0.00018907,             0.00018907,             0.00018907
                     26,                 1.2277,                 1.2856,                  1.086,                0.76057,                0.62262,                0.68367,                0.40427,                  1.468,                 1.2969,                 1.2002,             0.00015907,             0.00015907,             0.00015907
                     27,                 1.2096,                  1.247,                  1.079,                0.75371,                0.62282,                0.67437,                0.40188,                 1.4781,                 1.3214,                 1.2092,             0.00012908,             0.00012908,             0.00012908
                     28,                 1.1959,                 1.2482,                 1.0724,                 0.7529,                0.61547,                0.67677,                0.39679,                 1.4801,                 1.3358,                  1.213,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                 1.2031,                 1.2258,                  1.064,                0.68883,                0.65927,                0.68136,                0.40466,                 1.4785,                 1.3367,                 1.2138,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                 1.1835,                 1.2068,                 1.0661,                0.71707,                 0.6428,                0.68539,                0.40799,                 1.4596,                 1.3137,                 1.2046,             3.9087e-05,             3.9087e-05,             3.9087e-05
